system   D            wsystem.c:583  maybe_parent_dir                 [   0.00133] Also searching C:\Users\Rafal\Documents\GitHub\pwAsteroids\build\
display  D   display_settings.c:377  _al_score_display_settings       [   5.08655] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   5.08659] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   5.08663] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   5.08668] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   5.08672] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   5.08677] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   5.08682] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   5.08686] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   5.08690] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   5.08694] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   5.08699] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   5.08702] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   5.08707] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   5.08711] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   5.08715] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   5.08719] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   5.08724] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   5.08727] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   5.08732] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   5.08736] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   5.08740] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   5.08744] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   5.08749] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   5.08752] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   5.08757] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   5.08760] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   5.08767] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   5.08770] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   5.08776] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   5.08780] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   5.08784] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   5.08788] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   5.08792] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   5.08796] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   5.08800] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   5.08804] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   5.08809] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   5.08813] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   5.08818] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   5.08821] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   5.08826] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   5.08830] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   5.08834] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   5.08838] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   5.08842] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   5.08846] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   5.08851] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   5.08854] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   5.08859] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   5.08862] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   5.08868] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   5.08872] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   5.08877] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   5.08880] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   5.08885] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   5.08889] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   5.08893] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   5.08897] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   5.08902] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   5.08905] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   5.08910] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   5.08914] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   5.08918] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   5.08922] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   5.08927] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   5.08931] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   5.08935] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   5.08939] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   5.08952] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   5.08956] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   5.08961] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   5.08966] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   5.08971] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   5.08974] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   5.08979] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   5.08983] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   5.08987] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   5.08991] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   5.08996] Single Buffer requirement not met.
d3d      D         d3d_disp.cpp:1645 d3d_create_display_internals     [   5.09002] Trying format 0.
d3d      I         d3d_disp.cpp:1326 d3d_display_thread_proc          [   5.09229] Chose a display format: 23
d3d      I         d3d_disp.cpp:1395 d3d_display_thread_proc          [   5.09240] Normal window.
d3d      I         d3d_disp.cpp:801  d3d_create_device                [   5.11613] Using no depth stencil buffer
d3d      D         d3d_disp.cpp:866  d3d_create_device                [   5.16146] BeginScene succeeded in create_device
d3d      D         d3d_disp.cpp:874  d3d_create_device                [   5.16150] Success
d3d      D         d3d_disp.cpp:1668 d3d_create_display_internals     [   5.16153] Resumed after wait.
d3d      I         d3d_disp.cpp:1701 d3d_create_display_internals     [   5.16156] Format 0 succeeded.
d3d      D         d3d_disp.cpp:1724 d3d_create_display_internals     [   5.16159] Returning d3d_display: 0118B5C8
d3d      D         d3d_disp.cpp:1749 d3d_create_display_locked        [   5.16160] al_display=0118B5C8
d3d      D         d3d_disp.cpp:1750 d3d_create_display_locked        [   5.16161] al_display->vt=0114EBE0
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   5.17159] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   5.17162] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   5.17163] Fake format
